room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay
Private room,SOUTHEAST,MCKENZIE TOWNE,0,,1,1,20,1
Entire home/apt,CENTRE,HILLHURST,11,4.5,4,1,61,3
Entire home/apt,CENTRE,TUXEDO PARK,9,5,4,2,70,
Entire home/apt,CENTRE,CRESCENT HEIGHTS,1,,5,2,79,1
Private room,SOUTH,MIDNAPORE,0,,1,1,48,1
Entire home/apt,CENTRE,DOWNTOWN EAST VILLAGE,0,,2,1,79,1
Entire home/apt,CENTRE,BELTLINE,35,4.5,3,0,44,1
Private room,CENTRE,TUXEDO PARK,5,3.5,1,1,33,3
Entire home/apt,CENTRE,DOWNTOWN EAST VILLAGE,4,4,4,2,100,2
Entire home/apt,NORTHEAST,SKYVIEW RANCH,0,,4,2,78,2
Private room,CENTRE,POINT MCKAY,2,,2,1,39,1
Entire home/apt,CENTRE,BELTLINE,1,,4,2,280,4
Private room,CENTRE,CHINATOWN,0,,2,1,62,2
Entire home/apt,CENTRE,BELTLINE,0,,2,1,468,1
Entire home/apt,CENTRE,BRIDGELAND/RIVERSIDE,6,5,4,1,75,1
Entire home/apt,CENTRE,BELTLINE,0,,2,2,88,3
Entire home/apt,CENTRE,BRIDGELAND/RIVERSIDE,0,,5,2,96,1
Private room,NORTHWEST,EDGEMONT,2,,2,1,36,1
Private room,CENTRE,MISSION,0,,2,1,34,2
Entire home/apt,CENTRE,BRIDGELAND/RIVERSIDE,0,,4,2,111,3
Private room,CENTRE,DOWNTOWN EAST VILLAGE,0,,2,1,53,1
Private room,NORTH,PANORAMA HILLS,16,5,2,1,44,1
Shared room,SOUTHEAST,CRANSTON,0,,2,1,32,1
Entire home/apt,CENTRE,SOUTH CALGARY,0,,4,2,79,7
Private room,CENTRE,TUXEDO PARK,12,4.5,4,1,36,1
Entire home/apt,NORTHWEST,BRENTWOOD,0,,4,2,72,1
Entire home/apt,CENTRE,CRESCENT HEIGHTS,31,4.5,4,1,72,1
Private room,SOUTHEAST,COPPERFIELD,9,4.5,2,1,24,1
Entire home/apt,CENTRE,BANKVIEW,2,,2,1,97,2
Private room,CENTRE,INGLEWOOD,0,,3,1,119,1
Private room,NORTH,THORNCLIFFE,42,5,2,1,28,2
Entire home/apt,NORTHWEST,MONTGOMERY,4,5,6,3,144,2
Entire home/apt,CENTRE,BANKVIEW,1,,4,2,80,3
Private room,SOUTHEAST,AUBURN BAY,8,5,2,1,24,1
Entire home/apt,NORTHWEST,VARSITY,2,,5,1,121,1
Private room,CENTRE,POINT MCKAY,3,5,4,1,80,1
Entire home/apt,CENTRE,BELTLINE,18,5,2,1,72,1
Private room,NORTHEAST,MARLBOROUGH,35,5,2,1,36,1
Entire home/apt,CENTRE,DOWNTOWN EAST VILLAGE,0,,4,2,135,2
Private room,CENTRE,CHINATOWN,0,,2,1,80,1
Entire home/apt,CENTRE,BELTLINE,0,,4,2,89,2
Entire home/apt,CENTRE,RENFREW,22,5,6,3,151,1
Shared room,CENTRE,CAPITOL HILL,17,4.5,1,1,13,1
Entire home/apt,NORTH,HUNTINGTON HILLS,11,4.5,10,6,140,2
Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,2,,6,2,75,1
Entire home/apt,SOUTH,HAYSBORO,3,4.5,2,1,80,3
Entire home/apt,CENTRE,BELTLINE,2,,4,1,96,2
Private room,CENTRE,BELTLINE,1,,2,1,44,1
Private room,EAST,DOVER,21,5,2,1,32,1
Private room,CENTRE,MISSION,3,4.5,4,1,43,2
Entire home/apt,NORTHWEST,BRENTWOOD,11,5,4,2,78,2
Private room,CENTRE,BANFF TRAIL,0,,2,1,10,1
Entire home/apt,CENTRE,BELTLINE,152,4.5,4,1,71,1
Entire home/apt,EAST,SOUTHVIEW,17,4.5,2,1,68,2
Private room,NORTHEAST,MAYLAND HEIGHTS,68,5,1,1,31,1
Entire home/apt,CENTRE,WINSTON HEIGHTS/MOUNTVIEW,18,5,3,1,48,1
Entire home/apt,CENTRE,BRIDGELAND/RIVERSIDE,4,5,7,3,201,2
Private room,CENTRE,KILLARNEY/GLENGARRY,23,5,2,1,36,1
Entire home/apt,NORTHEAST,MARLBOROUGH,119,4.5,2,1,47,1
Entire home/apt,CENTRE,SUNNYSIDE,3,5,3,2,96,2
Private room,EAST,FOREST LAWN,0,,2,1,36,1
Entire home/apt,CENTRE,CRESCENT HEIGHTS,8,5,3,1,71,5
Entire home/apt,NORTH,HARVEST HILLS,0,,4,2,79,2
Private room,CENTRE,LOWER MOUNT ROYAL,3,4.5,1,1,52,1
Private room,NORTHWEST,HAWKWOOD,1,,2,1,36,1
Entire home/apt,CENTRE,CLIFF BUNGALOW,1,,3,1,48,1
Private room,CENTRE,LOWER MOUNT ROYAL,0,,2,1,44,1
Entire home/apt,SOUTH,ACADIA,4,5,4,3,116,2
Private room,NORTH,HUNTINGTON HILLS,14,4,2,1,36,1
Entire home/apt,CENTRE,MISSION,1,,4,2,280,3
Private room,CENTRE,RICHMOND,20,5,1,1,36,2
Entire home/apt,CENTRE,BANKVIEW,11,5,6,2,100,2
Entire home/apt,NORTHWEST,UNIVERSITY OF CALGARY,3,4.5,5,2,96,1
Entire home/apt,NORTHWEST,ROYAL OAK,26,4.5,4,1,56,7
Private room,NORTHWEST,ARBOUR LAKE,16,5,2,1,46,3
Entire home/apt,CENTRE,SUNALTA,43,4.5,3,2,66,1
Private room,NORTH,PANORAMA HILLS,0,,3,1,47,3
Entire home/apt,CENTRE,BELTLINE,21,4.5,4,2,88,2
Entire home/apt,CENTRE,BELTLINE,3,4.5,4,2,200,1
Entire home/apt,SOUTH,SOUTHWOOD,19,5,2,1,40,2
Private room,SOUTH,MILLRISE,0,,1,1,56,1
Entire home/apt,NORTH,HUNTINGTON HILLS,0,,4,2,79,2
Private room,CENTRE,PARKDALE,2,,2,1,32,1
Shared room,NORTHWEST,BOWNESS,0,,2,1,72,1
Entire home/apt,CENTRE,RENFREW,1,,3,1,80,2
Entire home/apt,CENTRE,MISSION,27,5,3,1,67,
Entire home/apt,CENTRE,BELTLINE,106,4.5,4,1,76,1
Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,1,,2,1,167,4
Private room,CENTRE,HIGHLAND PARK,29,5,2,1,33,1
Entire home/apt,CENTRE,BELTLINE,7,4,2,1,72,4
Entire home/apt,CENTRE,SUNNYSIDE,19,5,4,2,188,2
Private room,WEST,ROSSCARROCK,23,4.5,2,1,29,1
Private room,CENTRE,TUXEDO PARK,6,5,2,1,32,1
Entire home/apt,CENTRE,ALTADORE,1,,2,1,80,3
Entire home/apt,CENTRE,BANKVIEW,9,5,4,2,79,2
Entire home/apt,CENTRE,BELTLINE,23,5,6,2,164,2
Private room,NORTHEAST,SADDLE RIDGE,0,,2,1,81,1
Entire home/apt,CENTRE,CHINATOWN,0,,5,2,151,3
Entire home/apt,CENTRE,BELTLINE,0,,4,1,71,1
Entire home/apt,NORTHWEST,MONTGOMERY,15,5,6,2,180,3
Private room,SOUTH,LAKE BONAVISTA,0,,1,1,68,1
